Fiscal Year,Yahoo Finance,CCM
1985.0,1.1,4.4
1986.0,4.4,4.4
1987.0,4.4,4.4
1988.0,4.4,4.4
1989.0,4.73,4.73
1990.0,4.84,4.84
1991.0,4.84,4.84
1992.0,4.84,4.84
1993.0,1.58,1.58
1994.0,1.0,1.0
1995.0,1.0,1.0
1996.0,1.2999999999999998,1.3
1997.0,1.1500000000000001,0.775
1998.0,0.86,0.86
1999.0,0.7,0.47
2000.0,0.51,0.51
2001.0,0.55,0.55
2002.0,0.5900000000000001,0.59
2003.0,0.63,0.63
2004.0,0.7,0.7
2005.0,0.78,0.78
2006.0,1.0999999999999999,1.1
2007.0,1.5,1.5
2008.0,1.9,1.9
2009.0,2.1500000000000004,2.15
2010.0,2.5,2.5
2011.0,2.9,2.9
2012.0,3.3,3.3
2013.0,3.6999999999999997,3.7
2014.0,4.25,4.25
2015.0,6.3,5.0
2016.0,6.8999999999999995,5.5
2017.0,5.9,5.9
2018.0,6.210000000000001,6.21
